AttendanceID,StudentID,LessonID,Date,LessonName,StartTime,Status,Attended,ArrivalTime,Notes
2-79,2,79,2026-01-09,Science,13:00,Present,True,,
2-81,2,81,2026-01-09,PE,13:45,Present,True,,
2-83,2,83,2026-01-09,Art & Craft,14:30,Present,True,,
2-97,2,97,2026-01-12,Phonics,09:00,Present,True,,
2-99,2,99,2026-01-12,Maths,10:00,Absent,False,,
2-101,2,101,2026-01-12,English,11:00,Late,True,11:08,
2-103,2,103,2026-01-12,Science,13:00,Authorised Absence,False,,Dental appointment
2-105,2,105,2026-01-12,PE,13:45,Present,True,,
2-107,2,107,2026-01-12,Art & Craft,14:30,Present,True,,
2-121,2,121,2026-01-13,Phonics,09:00,Authorised Absence,False,,Family commitment
2-123,2,123,2026-01-13,Maths,10:00,Present,True,,
2-125,2,125,2026-01-13,English,11:00,Present,True,,
2-127,2,127,2026-01-13,Science,13:00,Present,True,,
2-129,2,129,2026-01-13,PE,13:45,Late,True,13:47,
2-131,2,131,2026-01-13,Art & Craft,14:30,Present,True,,
2-145,2,145,2026-01-14,Phonics,09:00,Present,True,,
2-147,2,147,2026-01-14,Maths,10:00,Present,True,,
2-149,2,149,2026-01-14,English,11:00,Present,True,,
2-151,2,151,2026-01-14,Science,13:00,Present,True,,
2-153,2,153,2026-01-14,PE,13:45,Present,True,,
2-155,2,155,2026-01-14,Art & Craft,14:30,Present,True,,
2-169,2,169,2026-01-15,Phonics,09:00,Present,True,,
2-171,2,171,2026-01-15,Maths,10:00,Authorised Absence,False,,Medical appointment
2-173,2,173,2026-01-15,English,11:00,Authorised Absence,False,,Dental appointment
2-175,2,175,2026-01-15,Science,13:00,Present,True,,
2-177,2,177,2026-01-15,PE,13:45,Absent,False,,
2-179,2,179,2026-01-15,Art & Craft,14:30,Authorised Absence,False,,Dental appointment
2-193,2,193,2026-01-16,Phonics,09:00,Present,True,,
2-195,2,195,2026-01-16,Maths,10:00,Present,True,,
2-197,2,197,2026-01-16,English,11:00,Present,True,,
2-199,2,199,2026-01-16,Science,13:00,Present,True,,
2-201,2,201,2026-01-16,PE,13:45,Absent,False,,
2-203,2,203,2026-01-16,Art & Craft,14:30,Present,True,,
2-217,2,217,2026-01-19,Phonics,09:00,Present,True,,
2-219,2,219,2026-01-19,Maths,10:00,Present,True,,
2-221,2,221,2026-01-19,English,11:00,Authorised Absence,False,,Medical appointment
2-223,2,223,2026-01-19,Science,13:00,Present,True,,
2-225,2,225,2026-01-19,PE,13:45,Present,True,,
2-227,2,227,2026-01-19,Art & Craft,14:30,Present,True,,
2-241,2,241,2026-01-20,Phonics,09:00,Authorised Absence,False,,Family commitment
2-243,2,243,2026-01-20,Maths,10:00,Authorised Absence,False,,Doctor visit
2-245,2,245,2026-01-20,English,11:00,Authorised Absence,False,,Dental appointment
2-247,2,247,2026-01-20,Science,13:00,Present,True,,
2-249,2,249,2026-01-20,PE,13:45,Authorised Absence,False,,Family commitment
2-251,2,251,2026-01-20,Art & Craft,14:30,Authorised Absence,False,,Dental appointment
2-265,2,265,2026-01-21,Phonics,09:00,Present,True,,
2-267,2,267,2026-01-21,Maths,10:00,Present,True,,
2-269,2,269,2026-01-21,English,11:00,Present,True,,
2-271,2,271,2026-01-21,Science,13:00,Present,True,,
2-273,2,273,2026-01-21,PE,13:45,Authorised Absence,False,,Family commitment
2-275,2,275,2026-01-21,Art & Craft,14:30,Present,True,,
2-289,2,289,2026-01-22,Phonics,09:00,Authorised Absence,False,,Medical appointment
2-291,2,291,2026-01-22,Maths,10:00,Present,True,,
2-293,2,293,2026-01-22,English,11:00,Present,True,,
2-295,2,295,2026-01-22,Science,13:00,Present,True,,
2-297,2,297,2026-01-22,PE,13:45,Late,True,13:51,
2-299,2,299,2026-01-22,Art & Craft,14:30,Present,True,,
2-313,2,313,2026-01-23,Phonics,09:00,Present,True,,
2-315,2,315,2026-01-23,Maths,10:00,Present,True,,
2-317,2,317,2026-01-23,English,11:00,Present,True,,
2-319,2,319,2026-01-23,Science,13:00,Present,True,,
2-321,2,321,2026-01-23,PE,13:45,Absent,False,,
2-323,2,323,2026-01-23,Art & Craft,14:30,Present,True,,
2-337,2,337,2026-01-26,Phonics,09:00,Present,True,,
2-339,2,339,2026-01-26,Maths,10:00,Present,True,,
2-341,2,341,2026-01-26,English,11:00,Absent,False,,
2-343,2,343,2026-01-26,Science,13:00,Absent,False,,
2-345,2,345,2026-01-26,PE,13:45,Late,True,13:54,
2-347,2,347,2026-01-26,Art & Craft,14:30,Authorised Absence,False,,Dental appointment
2-361,2,361,2026-01-27,Phonics,09:00,Present,True,,
2-363,2,363,2026-01-27,Maths,10:00,Present,True,,
2-365,2,365,2026-01-27,English,11:00,Absent,False,,
2-367,2,367,2026-01-27,Science,13:00,Absent,False,,
2-369,2,369,2026-01-27,PE,13:45,Present,True,,
2-371,2,371,2026-01-27,Art & Craft,14:30,Absent,False,,
2-385,2,385,2026-01-28,Phonics,09:00,Authorised Absence,False,,Medical appointment
2-387,2,387,2026-01-28,Maths,10:00,Late,True,10:05,
2-389,2,389,2026-01-28,English,11:00,Absent,False,,
2-391,2,391,2026-01-28,Science,13:00,Absent,False,,
2-393,2,393,2026-01-28,PE,13:45,Present,True,,
2-395,2,395,2026-01-28,Art & Craft,14:30,Present,True,,
2-409,2,409,2026-01-29,Phonics,09:00,Present,True,,
2-411,2,411,2026-01-29,Maths,10:00,Authorised Absence,False,,Family commitment
2-413,2,413,2026-01-29,English,11:00,Present,True,,
2-415,2,415,2026-01-29,Science,13:00,Absent,False,,
2-417,2,417,2026-01-29,PE,13:45,Authorised Absence,False,,Medical appointment
2-419,2,419,2026-01-29,Art & Craft,14:30,Absent,False,,
2-433,2,433,2026-01-30,Phonics,09:00,Late,True,09:11,
2-435,2,435,2026-01-30,Maths,10:00,Absent,False,,
2-437,2,437,2026-01-30,English,11:00,Present,True,,
2-439,2,439,2026-01-30,Science,13:00,Authorised Absence,False,,Family commitment
2-441,2,441,2026-01-30,PE,13:45,Present,True,,
2-443,2,443,2026-01-30,Art & Craft,14:30,Present,True,,
2-457,2,457,2026-02-02,Phonics,09:00,Absent,False,,
2-459,2,459,2026-02-02,Maths,10:00,Present,True,,
2-461,2,461,2026-02-02,English,11:00,Present,True,,
2-463,2,463,2026-02-02,Science,13:00,Absent,False,,
2-465,2,465,2026-02-02,PE,13:45,Present,True,,
2-467,2,467,2026-02-02,Art & Craft,14:30,Authorised Absence,False,,Family commitment
2-481,2,481,2026-02-03,Phonics,09:00,Present,True,,
2-483,2,483,2026-02-03,Maths,10:00,Present,True,,
2-485,2,485,2026-02-03,English,11:00,Absent,False,,
2-487,2,487,2026-02-03,Science,13:00,Late,True,13:04,
2-489,2,489,2026-02-03,PE,13:45,Authorised Absence,False,,Doctor visit
2-491,2,491,2026-02-03,Art & Craft,14:30,Late,True,14:43,
2-505,2,505,2026-02-04,Phonics,09:00,Absent,False,,
2-507,2,507,2026-02-04,Maths,10:00,Present,True,,
2-509,2,509,2026-02-04,English,11:00,Absent,False,,
2-511,2,511,2026-02-04,Science,13:00,Present,True,,
2-513,2,513,2026-02-04,PE,13:45,Present,True,,
2-515,2,515,2026-02-04,Art & Craft,14:30,Authorised Absence,False,,Medical appointment
2-529,2,529,2026-02-05,Phonics,09:00,Present,True,,
2-531,2,531,2026-02-05,Maths,10:00,Present,True,,
2-533,2,533,2026-02-05,English,11:00,Late,True,11:04,
2-535,2,535,2026-02-05,Science,13:00,Present,True,,
2-537,2,537,2026-02-05,PE,13:45,Present,True,,
2-539,2,539,2026-02-05,Art & Craft,14:30,Present,True,,
2-553,2,553,2026-02-06,Phonics,09:00,Present,True,,
2-555,2,555,2026-02-06,Maths,10:00,Present,True,,
2-557,2,557,2026-02-06,English,11:00,Present,True,,
2-559,2,559,2026-02-06,Science,13:00,Present,True,,
2-561,2,561,2026-02-06,PE,13:45,Present,True,,
2-563,2,563,2026-02-06,Art & Craft,14:30,Present,True,,
2-577,2,577,2026-02-09,Phonics,09:00,Authorised Absence,False,,Medical appointment
2-579,2,579,2026-02-09,Maths,10:00,Present,True,,
2-581,2,581,2026-02-09,English,11:00,Authorised Absence,False,,Doctor visit
2-583,2,583,2026-02-09,Science,13:00,Late,True,13:03,
2-585,2,585,2026-02-09,PE,13:45,Present,True,,
2-587,2,587,2026-02-09,Art & Craft,14:30,Present,True,,
2-601,2,601,2026-02-10,Phonics,09:00,Present,True,,
2-603,2,603,2026-02-10,Maths,10:00,Present,True,,
2-605,2,605,2026-02-10,English,11:00,Present,True,,
2-607,2,607,2026-02-10,Science,13:00,Present,True,,
2-609,2,609,2026-02-10,PE,13:45,Absent,False,,
2-611,2,611,2026-02-10,Art & Craft,14:30,Absent,False,,
2-625,2,625,2026-02-11,Phonics,09:00,Present,True,,
2-627,2,627,2026-02-11,Maths,10:00,Present,True,,
2-629,2,629,2026-02-11,English,11:00,Present,True,,
2-631,2,631,2026-02-11,Science,13:00,Present,True,,
2-633,2,633,2026-02-11,PE,13:45,Present,True,,
2-635,2,635,2026-02-11,Art & Craft,14:30,Present,True,,
2-649,2,649,2026-02-12,Phonics,09:00,Present,True,,
2-651,2,651,2026-02-12,Maths,10:00,Late,True,10:09,
2-653,2,653,2026-02-12,English,11:00,Absent,False,,
2-655,2,655,2026-02-12,Science,13:00,Late,True,13:02,
2-657,2,657,2026-02-12,PE,13:45,Present,True,,
2-659,2,659,2026-02-12,Art & Craft,14:30,Late,True,14:31,
2-673,2,673,2026-02-13,Phonics,09:00,Absent,False,,
2-675,2,675,2026-02-13,Maths,10:00,Authorised Absence,False,,Medical appointment
2-677,2,677,2026-02-13,English,11:00,Absent,False,,
2-679,2,679,2026-02-13,Science,13:00,Late,True,13:11,
2-681,2,681,2026-02-13,PE,13:45,Authorised Absence,False,,Family commitment
2-683,2,683,2026-02-13,Art & Craft,14:30,Absent,False,,
2-697,2,697,2026-02-16,Phonics,09:00,Present,True,,
2-699,2,699,2026-02-16,Maths,10:00,Present,True,,
2-701,2,701,2026-02-16,English,11:00,Present,True,,
2-703,2,703,2026-02-16,Science,13:00,Present,True,,
2-705,2,705,2026-02-16,PE,13:45,Authorised Absence,False,,Dental appointment
2-707,2,707,2026-02-16,Art & Craft,14:30,Absent,False,,
3-2,3,2,2026-01-06,Phonics,09:00,Present,True,,
3-4,3,4,2026-01-06,Maths,10:00,Late,True,10:14,
3-6,3,6,2026-01-06,English,11:00,Present,True,,
3-8,3,8,2026-01-06,Science,13:00,Present,True,,
3-10,3,10,2026-01-06,PE,13:45,Present,True,,
3-12,3,12,2026-01-06,Art & Craft,14:30,Authorised Absence,False,,Family commitment
3-26,3,26,2026-01-07,Phonics,09:00,Authorised Absence,False,,Dental appointment
3-28,3,28,2026-01-07,Maths,10:00,Late,True,10:01,
3-30,3,30,2026-01-07,English,11:00,Authorised Absence,False,,Doctor visit
3-32,3,32,2026-01-07,Science,13:00,Present,True,,
3-34,3,34,2026-01-07,PE,13:45,Authorised Absence,False,,Family commitment
3-36,3,36,2026-01-07,Art & Craft,14:30,Late,True,14:43,
3-50,3,50,2026-01-08,Phonics,09:00,Present,True,,
3-52,3,52,2026-01-08,Maths,10:00,Late,True,10:05,
3-54,3,54,2026-01-08,English,11:00,Present,True,,
3-56,3,56,2026-01-08,Science,13:00,Present,True,,
3-58,3,58,2026-01-08,PE,13:45,Present,True,,
3-60,3,60,2026-01-08,Art & Craft,14:30,Present,True,,
3-74,3,74,2026-01-09,Phonics,09:00,Present,True,,
3-76,3,76,2026-01-09,Maths,10:00,Present,True,,
3-78,3,78,2026-01-09,English,11:00,Present,True,,
3-80,3,80,2026-01-09,Science,13:00,Absent,False,,
3-82,3,82,2026-01-09,PE,13:45,Authorised Absence,False,,Family commitment
3-84,3,84,2026-01-09,Art & Craft,14:30,Authorised Absence,False,,Dental appointment
3-98,3,98,2026-01-12,Phonics,09:00,Authorised Absence,False,,Medical appointment
3-100,3,100,2026-01-12,Maths,10:00,Present,True,,
3-102,3,102,2026-01-12,English,11:00,Present,True,,
3-104,3,104,2026-01-12,Science,13:00,Present,True,,
3-106,3,106,2026-01-12,PE,13:45,Absent,False,,
3-108,3,108,2026-01-12,Art & Craft,14:30,Present,True,,
3-122,3,122,2026-01-13,Phonics,09:00,Present,True,,
3-124,3,124,2026-01-13,Maths,10:00,Late,True,10:08,
3-126,3,126,2026-01-13,English,11:00,Present,True,,
3-128,3,128,2026-01-13,Science,13:00,Present,True,,
3-130,3,130,2026-01-13,PE,13:45,Late,True,13:52,
3-132,3,132,2026-01-13,Art & Craft,14:30,Present,True,,
3-146,3,146,2026-01-14,Phonics,09:00,Late,True,09:06,
3-148,3,148,2026-01-14,Maths,10:00,Authorised Absence,False,,Doctor visit
3-150,3,150,2026-01-14,English,11:00,Present,True,,
3-152,3,152,2026-01-14,Science,13:00,Present,True,,
3-154,3,154,2026-01-14,PE,13:45,Present,True,,
3-156,3,156,2026-01-14,Art & Craft,14:30,Present,True,,
3-170,3,170,2026-01-15,Phonics,09:00,Present,True,,
3-172,3,172,2026-01-15,Maths,10:00,Late,True,10:02,
3-174,3,174,2026-01-15,English,11:00,Present,True,,
3-176,3,176,2026-01-15,Science,13:00,Present,True,,
3-178,3,178,2026-01-15,PE,13:45,Present,True,,
3-180,3,180,2026-01-15,Art & Craft,14:30,Present,True,,
3-194,3,194,2026-01-16,Phonics,09:00,Authorised Absence,False,,Doctor visit
3-196,3,196,2026-01-16,Maths,10:00,Present,True,,
3-198,3,198,2026-01-16,English,11:00,Present,True,,
3-200,3,200,2026-01-16,Science,13:00,Present,True,,
3-202,3,202,2026-01-16,PE,13:45,Present,True,,
3-204,3,204,2026-01-16,Art & Craft,14:30,Present,True,,
3-218,3,218,2026-01-19,Phonics,09:00,Present,True,,
3-220,3,220,2026-01-19,Maths,10:00,Late,True,10:03,
3-222,3,222,2026-01-19,English,11:00,Present,True,,
3-224,3,224,2026-01-19,Science,13:00,Present,True,,
3-226,3,226,2026-01-19,PE,13:45,Present,True,,
3-228,3,228,2026-01-19,Art & Craft,14:30,Present,True,,
3-242,3,242,2026-01-20,Phonics,09:00,Present,True,,
3-244,3,244,2026-01-20,Maths,10:00,Present,True,,
3-246,3,246,2026-01-20,English,11:00,Present,True,,
3-248,3,248,2026-01-20,Science,13:00,Present,True,,
3-250,3,250,2026-01-20,PE,13:45,Present,True,,
3-252,3,252,2026-01-20,Art & Craft,14:30,Present,True,,
3-266,3,266,2026-01-21,Phonics,09:00,Authorised Absence,False,,Medical appointment
3-268,3,268,2026-01-21,Maths,10:00,Present,True,,
3-270,3,270,2026-01-21,English,11:00,Present,True,,
3-272,3,272,2026-01-21,Science,13:00,Authorised Absence,False,,Dental appointment
3-274,3,274,2026-01-21,PE,13:45,Authorised Absence,False,,Doctor visit
3-276,3,276,2026-01-21,Art & Craft,14:30,Present,True,,
3-290,3,290,2026-01-22,Phonics,09:00,Present,True,,
3-292,3,292,2026-01-22,Maths,10:00,Present,True,,
3-294,3,294,2026-01-22,English,11:00,Authorised Absence,False,,Medical appointment
3-296,3,296,2026-01-22,Science,13:00,Present,True,,
3-298,3,298,2026-01-22,PE,13:45,Absent,False,,
